airport_code,airport_name_en,country_code,airport_name_ar
TXL,Berlin Tegel Airport,DE,مطار برلين تيجيل
PRC,Ernest A Love Field Airport,US,إرنست ومطار لاف فيلد
BEW,Beira Airport,MZ,مطار بيرا
HMV,Hemavan Airport,SE,مطار هيمافان
KRN,Kiruna Airport,SE,مطار كيرونا
ZEL,Denny Island Airport,CA,مطار جزيرة ديني
GOT,Gteborg Landvetter Airport,SE,مطار غوتبورغ اندفيتير
CEZ,Cortez Municipal Airport,US,كورتيز البلدية
CMU,Chimbu Airport,PG,مطار شيمبو
BAS,Ballalae Airport,SB,مطار بالالاي
AIU,Enua Airport,CK,مطار اينوا
JLN,Joplin Regional Airport,US,مطار جوبلين الإقليمي
YVP,Kuujjuaq Airport,CA,مطار كوجواك
MLE,Ibrahim Nasir International Airport,MV,مطار إبراهيم ناصر الدولي
AYT,Antalya Airport,TR,مطار أنطاليا
ALO,Waterloo Regional Airport,US,مطار واترلو الإقليمي
WUS,Nanping Wuyishan Airport,CN,مطار نانبينغ وويشان
QUV,Aappilattoq Kujalleq Heliport,GL,مهبط ابيلاتوك كوجاليك
SNU,Abel Santamaria Airport,CU,مطار هابيل سانتاماريا
ZMT,Masset Airport,CA,مطار ماسيه
CNY,Canyonlands Field Airport,US,مطار وادي الميدان
UNG,Kiunga Airport,PG,مطار كيونغا
TWF,Magic Valley Regional Airport,US,مطار ماجيك فالي الاقليمي
TOY,Toyama Airport,JP,مطار توياما
SBZ,Sibiu International Airport,RO,مطار سيبيو الدولي
CPV,Presidente Joo Suassuna Airport,BR,مطار بريسيدنتي جو سواسونا
ART,Watertown International Airport,US,مطار ووترتاون الدولية
MHT,Manchester-boston Regional Airport,US,مطار مانشستر بوسطن الإقليمي
MXH,Moro Airport,PG,مطار مورو
CZL,Mohamed Boudiaf International Airport,DZ,مطار محمد بوضياف الدولي
DGO,General Guadalupe Victoria International Airport,MX,مطار عامة غوادالوبي فيكتوريا الدولية
MOI,Mitiaro Island Airport,CK,مطار جزيرة ميتيارو
LNE,Lonorore Airport,VU,مطار لونورور
SFG,Lespcrance Airport,GP,مطار ليسبكرانس
FBM,Lubumbashi International Airport,CG,مطار لبومباشي الدولي
AUQ,Hiva Oa-atuona Airport,PF,مطار هيفا اتونا
LKL,Banak Airport,NO,مطار باناك
HNA,Hanamaki Airport,JP,مطار هاناماكي
NDG,Qiqihar Sanjiazi Airport,CN,مطار تشيتشيهار سانجيازي
AUG,Augusta State Airport,US,مطار أوغوستا الدولة
GDQ,Gonder Airport,ET,مطار جوندر
JUH,Jiuhuashan Airport,IT,مطار جيواشان 
MUK,Mauke Airport,CK,مطار ماوكي
UAP,Ua Pou Airport,PF,مطار ua بو
ANM,Antsirabato Airport,MG,مطار انتسيراباتو
UTN,Pierre Van Ryneveld Airport,ZA,مطار بيير فان رينفيلد
YNT,Yantai Laishan Airport,CN,مطار يانتاي ليشان
SVU,Savusavu Airport,FJ,مطار سافوسافو
TVU,Matei Airport,FJ,مطار ماتي
RVV,Raivavae Airport,PF,مطار ريفافاي
VBV,Vanua Balavu Airport,FJ,مطار بالافو
MAS,Momote Airport,PG,مطار موموت
HNM,Hana Airport,US,مطار هناء
PSS,Libertador Gral D Jose De San Martin Airport,AR,مطار لبيرتادور غرال دي جوس سان مارتن
KDV,Vunisea Airport,FJ,مطار فوني سي 
PWQ,Pavlodar Airport,KZ,مطار بافلودار
AAA,Anaa Airport,PF,مطار انا
ROR,Roman Tmetuchl International Airport,PW,مطار ميتشيل رومان الدولي
AKS,Auki Airport,SB,مطار أوكي
UIN,Quincy Regional Airport,US,مطار كوينسي الإقليمي
BFJ,Ba Airport,FJ,مطار با
PAH,Barkley Regional Airport,US,مطار باركلي الإقليمي
YGW,Kuujjuarapik Airport,CA,مطار كوجوارابيك
TGD,Podgorica Airport,ME,مطار بودغوريتشا
EJA,Yarigu-es Airport,CO,مطار ياريغو - اس
RET,Rst Airport,NO,مطار ىر اس تي
MUC,Munich Airport,DE,مطار ميونيخ
MME,Durham Tees Valley International Airport,GB,مطار دورهام تيز فالي الدولي
TIH,Tikehau Airport,PF,مطار تيكيهاو
HLP,Halim Perdanakusuma Airport,ID,مطار حليم برداناكوسوما
MVR,Salak Airport,CM,مطار سالاك
FGU,Fangatau Airport,PF,مطار فانغاتاو
APK,Apataki Airport,PF,مطار اباتاكي
GAN,Gan International Airport,BT,مطار غان الدولي
FAV,Fakarava Airport,PF,مطار فاكارافا
KVG,Kavieng Airport,PG,مطار كافينغ
PTG,Polokwane International Airport,ZA,مطار بولوكواني الدولي
FRU,Manas International Airport,KG,مطار ماناس الدولي
ASP,Alice Springs Airport,AU,مطار أليس سبرينغز
NKM,Nagoya Airfield Airport,JP,مطار مطار ناغويا
AJN,Ouani Airport,KM,مطار اواني
BEM,Bossembclc Airport,CF,مطار بوسيمبسلس
BJI,Bemidji Regional Airport,US,مطار بيميدجي الإقليمي
RKV,Reykjavk Airport,IS,مطار ريكجافك
DCN,Raaf Base Curtin,AU,راف قاعدة كورتين
GOU,Garoua International Airport,CM,مطار غاروا الدولي
VRN,Verona Villafranca Airport,IT,مطار فيرونا فيلافرانكا
VAK,Chevak Airport,US,مطار تشيفاك
GLH,Mid Delta Regional Airport,US,مطار ميد دلتا الإقليمي
TLM,Zenata Eur Messali El Hadj Airport,DZ,مطار زناتة يورو مصالي الحاج 
NBC,Begishevo Airport,US,مطار بيغيشيفو
LLA,Lule Airport,SE,مطار لولي
NGE,Ngaoundcrc Airport,CM,مطار نغاوندسرس
CEC,Del Norte County Airport,US,مطار مقاطعة ديل نورت
OSY,Namsos Hknesra Airport,NO,مطارهكنيسرا
HHZ,Hikueru Atoll Airport,PF,مطار هيكورو اتول
MMK,Murmansk Airport,RU,مطار مورمانسك
VAR,Varna Airport,BG,مطار فارنا
CJC,El Loa International Airport,CL,مطار ال لوا الدولية
VXO,Vxj Smland Airport,SE,مطار فكسج سملاند 
BVA,Beauvais-till Airport,FR,مطار بوفيس - تيلل 
YQG,Windsor Airport,CA,مطار ويندسور
YAG,Fort Frances Municipal Airport,CA,مطار فورت فرانسيس مونيسيبال 
PKR,Pokhara Airport,NP,مطار بوكارا
SMS,Sainte Marie Airport,MG,مطار سانت ماري
MFR,Rogue Valley International-medford Airport,US,مطار روج فالي ميدفورد الدولي
MKK,Molokai Airport,US,مطار مولوكاي
EGE,Eagle County Regional Airport,US,مطار مقاطعة النسر الإقليمي
JNB,O R Tambo International Airport,ZA,مطار او ار تامبو الدولي
FMN,Four Corners Regional Airport,US,مطار فور كورنرز الإقليمي
BSG,Bata Airport,GQ,مطار باتا
MSN,Dane County Regional Airport,US,مطار مقاطعة داني الإقليمي
AJF,Al-jawf Domestic Airport,SA,مطار الجوف المحلي
ILG,New Castle Airport,US,مطار نيو كاسل
ENA,Kenai Municipal Airport,US,مطار كيناي المحلي
YCB,Cambridge Bay Airport,CA,مطار كامبردج باي
ZBF,Bathurst Airport,CA,مطار باثورست
YBR,Brandon Municipal Airport,CA,مطار براندون البلدية
CTA,Catania Interational Airport,IT,مطار كاتانيا الدولي
GMR,Totegegie Airport,PF,مطار توتيغيغي
SPB,Charlotte Amalie Harbor Seaplane Base Airport,VI,مطار شارلوت أمالي هاربور سيبلين بيس 
YLC,Kimmirut Airport,CA,مطار كيميروت
TOB,Gamal Abdel Nasser Airport,LY,مطار جمال أبدل ناصر
EGN,Geneina Airport,SD,مطار الجنينة
DUT,Unalaska Airport,US,مطار يونلاسكا 
YBX,Lourdes De Blanc Sablon Airport,CA,مطار لوردي ده بلانك سابلون 
KCL,Chignik Lagoon Airport,US,مطار تشيغنيك لاغون
YPJ,Aupaluk Airport,CA,مطار أوبالوك
DBQ,Dubuque Regional Airport,US,مطار دوبوك الإقليمي
VVC,Vanguardia Airport,CO,مطار فانجارديا
MJC,Man Airport,CI,مطار مان
TNO,Tamarindo De Santa Cruz Airport,CR,مطار تاماريندو دي سانتا كروز
TKV,Tatakoto Airport,PF,مطار تاتاكوتا
OKJ,Okayama Airport,JP,مطار أوكاياما
KEJ,Kemerovo Airport,RU,مطار كيميروفو
BFD,Bradford Regional Airport,US,مطار برادفورد الإقليمي
HGO,Korhogo Airport,CI,مطار كورهوغو
MKP,Makemo Airport,PF,مطار ماكيمو 
DNR,Dinard-pleurtuit-saint-malo Airport,FR,مطار دينارد-بلورتوت-سانت-مالو
MOQ,Morondava Airport,MG,مطار موروندافا
OFI,Ouango Fitini Airport,CI,مطار اوانغو فيتيني
NOS,Fascene Airport,MG,مطار فاسكيني
BAX,Barnaul Airport,RU,مطار بارناول
HNS,Haines Airport,US,مطار هينس
ZNE,Newman Airport,AU,مطار نيومان
LGS,Comodoro Dr Salomn Airport,AR,مطار كومودورو دكتور سالومن 
TRK,Juwata Airport,ID,مطار جواتا
JUJ,Gobernador Horacio Guzmn International Airport,AR,مطار جوبيرنادور هوراسيو غوزمان الدولي
ROI,Roi Et Airport,TH,مطار روي إت
HGU,Mount Hagen Kagamuga Airport,PG,مطار جبل هاغن كاغاموغا
WMN,Maroantsetra Airport,MG,مطار ماروانتسيترا
DIE,Arrachart Airport,MG,مطار اررتشارت
YUY,Rouyn-noranda Airport,CA,مطار روين-نوراندا 
TMM,Toamasina Airport,MG,مطار تواماسينا
KHT,Khost Airport,AF,مطار خوست
KRK,John Paul Ii International Airport Krakw-balice,PL,مطار جون بول الثاني الدولي كراكو-باليس
PHO,Point Hope Airport,US,مطار نقطة الأمل
AQI,Hafr Al Batin Airport,SA,مطار حفر الباطن
LMT,Klamath Falls Airport,US,مطار كلاماث فولز
NYT,Naypyidaw Airport,MM,مطار نايبيداو
BHY,Beihai Airport,CN,مطار بيهاى
PZI,Baoanying Airport,CN,مطار بوانينغ 
SUR,Summer Beaver Airport,CA,مطار سامر بيفير 
KSJ,Kasos Island National Airport,GR,مطار كاللصوص جزيرة الوطنية
KVA,Kavala International Airport,GR,مطار كافالا الدولي
YJT,Stephenville Airport,CA,مطار ستيفنفيل
SVB,Sambava Airport,MG,مطار سامبافا
SCZ,Santa Cruz-graciosa Bay-luova Airport,SB,مطار سانتا كروز غاراسواسا باي لوفا
JFK,John F Kennedy International Airport,US,مطار جون إف كينيدي الدولي
GMZ,La Gomera Airport,ES,مطار لا غوميرا
WWK,Wewak International Airport,PG,مطار ويواك الدولي
FTU,Tlanaro Airport,MG,مطار تلانارو
CAY,Cayenne - Flix Ebou Airport,GF,مطار كاين - فيليكس ايبو
TMS,So Tomc International Airport,ST,مطار سو تومك الدولي 
ALZ,Alitak Seaplane Base,SB,مطار اليتاك سيبلان بيس
EOH,Enrique Olaya Herrera Airport,CO,مطار انريكي العليا هيريرا
TAP,Tapachula International Airport,MX,مطار تاباتشولا الدولي
ULN,Chinggis Khaan International Airport,MN,مطار جنكيز خان الدولي
YWB,Kangiqsujuaq Wakeham Bay Airport,CA,مطار كانجيكسوجواك يكهام باي
BGA,Palonegro International Airport,CO,مطار بالونيغرو الدولي
CTG,Rafael Nez International Airport,CO,مطار رافائيل نيز الدولي
JMK,Mykonos Island National Airport,GR,مطار ميكونوس ايسلاند ناشونال
LCA,Larnaca International Airport,CY,مطار لارنكا الدولي
EUN,Hassan I Airport,MA,مطار الحسن الأول
FIH,Ndjili Airport,CD,مطار نجيلي
TLE,Toliara Airport,MG,مطار توليارا
PPG,Pago Pago International Airport,AS,مطار باغو باغو الدولي
LXR,Luxor International Airport,EG,مطار الأقصر الدولي
KLU,Klagenfurt Airport,AT,مطار كلاغنفورت
GLK,Galcaio Airport,SO,مطار غالسيو
EBB,Entebbe International Airport,UG,مطار عنتيبى الدولى
EYP,El Yopal Airport,CO,مطار أل يوبال
LWO,Lviv Danylo Halytskyi International Airport,UA,مطار لفيف دانيلو هاليتسكي الدولي
CVN,Clovis Municipal Airport-cvn,US,مطار كلوفيس مونيسيبال - س ف ن 
HDS,Hoedspruit Air Force Base Airport,ZA,مطار قاعدة سلاح الجو هويدزبروت
ZLO,Playa De Oro International Airport,MX,مطار بلايا دي أورو الدولي
KIM,Kimberley Airport,ZA,مطار كيمبرلي
CDR,Chadron Municipal Airport,US,مطار شادرون مانيسيبال
GDN,Gdask Lech Wasa Airport,PL,مطار غداسك ليش واسا
CHG,Chaoyang Airport,CN,مطار تشاويانغ
LCE,Golosn International Airport,HN,مطار غولوسن الدولي
CNP,Neerlerit Inaat Airport,GL,مطار نييرليرت انات
PKP,Puka Puka Airport,PF,مطار بوكا بوكا
ROT,Rotorua Regional Airport,NZ,مطار روتوروا الإقليمي
VEL,Vernal Regional Airport,US,مطار فيرنال الإقليمي
XQP,Quepos Managua Airport,CR,مطار ماناغوا قابوس
LFW,Lom-tokoin Airport,TG,مطار لوم توكون
GAL,Edward G Pitka Sr Airport,US,مطار ادوارد ج بيتكا سر 
OMA,Eppley Airfield Airport,US,مطار إيبلي ايرفيلد
CKB,North Central West Virginia Airport,US,مطار شمال وسط ولاية فرجينيا الغربية
UEL,Quelimane Airport,MZ,مطار كيليماني
OMD,Oranjemund Airport,NA,مطار اورانجيموند
YUM,Yuma International Airport,US,مطار يوما الدولي
WTK,Noatak Airport,US,مطار نواتاك
COD,Yellowstone Regional Airport,US,مطار يلوستون الإقليمي
PLQ,Palanga International Airport,LT,مطار بالانغا الدولي
LGP,Legazpi Airport,PH,مطار ليجازبي
RUS,Marau Airport,SB,مطار ماراو
YTF,Alma Airport,CA,مطار ألما
RHI,Rhinelander-oneida County Airport,US,مطار مقاطعة رهينلندر-أونيدا
TKP,Takapoto Airport,PF,مطار تاكابوتو
SHC,Shire Inda Selassie Airport,ET,مطار شيري إندا سيلاسي
OUZ,Tazadit Airport,MR,مطار ازويرات
PUK,Pukarua Airport,PF,مطار بوكاروا
ANX,Andya Airport,NO,مطار انديا
DSA,Robin Hood Doncaster Sheffield Airport,GB,مطار روبن هود دونكاستر شيفيلد
BLZ,Chileka International Airport,MW,مطار تشيليكا الدولي
YGX,Gillam Airport,CA,مطار غيلام
LKB,Lakeba Island Airport,FJ,مطار لاكيبا ايسلند
NUS,Norsup Airport,VU,مطار نورسوب
AHE,Ahe Airport,PF,مطار اهي
LKN,Leknes Airport,NO,مطار يكنيز
YBK,Baker Lake Airport,CA,مطار بحيرة بيكر
GKA,Goroka Airport,PG,مطار جوروكا
GGT,Exuma International Airport,BS,مطار اكسوما الدولي
KIR,Kerry Airport,IE,مطار كيري
TZL,Tuzla International Airport,BA,مطار توزلا الدولي
CUF,Cuneo - Levaldigi Airport,IT,مطار كونيو ليفالديجي
OMO,Mostar International Airport,BA,مطار موستار الدولي
AAN,Al Ain International Airport,AE,مطار العين الدولي
VUP,Alfonso Lpez Pumarejo Airport,CO,مطار ألفونسو لوبيز بوماريجو
KWJ,Gwangju Airport,KR,مطار غوانغجو
AWZ,Ahwaz Airport,IR,مطار الأهواز
BAV,Baotou Airport,CN,مطار باوتو
VIJ,Virgin Gorda Airport,VG,مطار فيرجين غوردا
ENE,Ende H Hasan Aroeboesman Airport,ID,مطار اندي اتش حسن ارويبوسمان
WEI,Weipa Airport,AU,مطار ويبا
HRI,Mattala Rajapaksa International Airport,LK,مطار ماتالا راجاباكسا الدولي
SZK,Skukuza Airport,ZA,مطار سكوكوزا
YCD,Nanaimo Airport,CA,مطار نانايمو
CLQ,Lic Miguel De La Madrid Airport,MX,مطار ليك ميغيل دي لوس انجليس مدريد
BIN,Bamiyan Airport,NZ,مطار باميان
NUK,Nukutavake Airport,PF,مطار نوكوتافاكي
ZTA,Tureia Airport,PF,مطار توريا
KHZ,Kauehi Airport,PF,مطار كوهي
STC,St Cloud Regional Airport,US,مطار شارع كلاود ريجونال 
MVT,Mataiva Airport,PF,مطار ماتايفا
MCM,Monaco Heliport,MC,موناكو مهبط
TNH,Tonghua Sanyuanpu Airport,CN,مطار تونغهوا سانيوبو
YPW,Powell River Airport,CA,مطار نهر باول 
YQC,Quaqtaq Airport,CA,مطار كاقاتاك
VXE,So Pedro Airport,CV,مطار سو بيدرو
RKA,Aratika Nord Airport,PF,مطار اراتيكا نورد
DDG,Dandong Airport,CN,مطار داندونغ
WEF,Weifang Airport,CN,مطار يفانغ
GSM,Gheshm Airport,IR,مطار غيشم
FMO,Mnster Osnabrck International Airport,DE,مطار منستر اوسنابرك الدولي
REP,Siem Reap International Airport,KH,مطار سيم ريب الدولي
CEN,Ciudad Obregn International Airport,MX,مطار سيوداد اوبريغن الدولي
YAC,Cat Lake Airport,CA,مطار بحيرة القط
CIP,Chipata Airport,ZM,مطار شيباتا
IKT,International Airport Irkutsk,RU,مطار إيركوتسك الدولي
RRR,Raroia Airport,PF,مطار رارويا
DBA,Dalbandin Airport,PK,مطار دالباندين
BRN,Bern Airport,CH,مطار برن
YQX,Gander International Airport,CA,مطار جندر الدولي
HPH,Cat Bi International Airport,VN,مطار كات بي الدولي
BHI,Comandante Espora Airport,AR,مطار القائد اسبورا
TKX,Takaroa Airport,PF,مطار تاكاروا
HDY,Hat Yai International Airport,TH,مطار هات ياي الدولي
ERS,Eros Airport,NA,مطار إيروس
INT,Smith Reynolds Airport,US,مطار سميث رينولدز
KPO,Pohang Airport,KR,مطار بوهانغ
POM,Jacksons International Airport,PG,مطار جاكسون الدولي
BKO,Bamako Senou International Airport,ML,مطار باماكو سينو الدولي
GEA,Nouma Magenta Airport,NC,مطار نوميا ماغيىفا
MOZ,Moorea Airport,PF,مطار موريا
PGX,Prigueux Bassillac Airport,FR,مطار بريغوكس باسيلاك
GWT,Westerland Sylt Airport,DE,مطار ويسترلاند سيلت
SCC,Deadhorse Airport,US,مطار ديد هورس 
NJC,Nizhnevartovsk Airport,RU,مطار نيجنفارتوفسك
MSL,Northwest Alabama Regional Airport,US,شمال غرب مطار ألاباما الإقليمي
JIK,Ikaria Island National Airport,GR,مطار جزيرة ايكاريا الوطنية
GGW,Glasgow Airport Us,US,مطار غلاسكو يو اس
RHO,Rhodes International Airport,GR,مطار رودس الدولي
JSY,Syros Island National Airport,GR,مطار جزيرة سيروس الوطنية
MJM,Mbuji Mayi Airport,CG,مطار مبوجي مايي
TBU,Fuaamotu International Airport,TO,مطار فوموتو الدولي
NDU,Rundu Airport,NA,مطار روندو
QJE,Kitsissuarsuit Heliport,GL,مهبط كيتسيسوارسويت
PAS,Paros National Airport,GR,مطار باروس الوطني
IPH,Sultan Azlan Shah Airport,MY,مطار سلطان أزلان شاه
IQQ,Diego Aracena International Airport,CL,مطار دييغو اراسنا الدولي
ORK,Cork Airport,IE,مطار كورك
NOU,La Tontouta International Airport,NC,مطار لوس انجليس الدولي تونتوتا
XAP,Chapec Airport,BR,مطار تشابيك
ADD,Addis Ababa Bole International Airport,ET,مطار أديس أبابا بولي الدولي
LEI,Almera Airport,ES,مطار الميرا
XBE,Bearskin Lake Airport,CA,مطار بيرسكن ليك
MAU,Maupiti Airport,PF,مطار ماوبيتي
DAY,Dayton International Airport,US,مطار دايتون الدولي
RAK,Marrakesh Menara Airport,MA,مطار مراكش المنارة الدولي
HOI,Hao Airport,PF,مطار هاو
SLH,Sola Airport,VU,مطار سولا
SMI,Samos International Airport,GR,مطار ساموس الدولي
PIE,St Petersburg-clearwater International Airport,US,سانت بطرسبورغ، كليرووتر المطار الدولي
AOS,Amook Bay Seaplane Base,SB,اموك باي سيبلين بيس
MTV,Mota Lava Airport,VU,مطار موتا لافا
NEV,Vance W Amory International Airport,KN,مطار فانس دبليو أموري الدولية
NYO,Stockholm Skavsta Airport,SE,مطار ستوكهولم سكافستا
YSM,Fort Smith Airport,CA,مطار فورت سميث
BRL,Southeast Iowa Regional Airport,US,جنوب مطار ولاية ايوا الإقليمي
MKG,Muskegon County Airport,US,مطار مقاطعة موسكيغون
BKG,Branson Airport,PG,مطار برانسون
QFN,Narsaq Kujalleq Heliport,GL,مهبط نارساك كوجاليك 
JGO,Qeqertarsuaq Heliport,GL,مهبط كيكيرتارسواك
YVQ,Norman Wells Airport,CA,مطار نورمان ويلز
YNC,Wemindji Airport,CA,مطار ويميندجي
YHP,Poplar Hill Airport,CA,مطار بوبيولار هيل
KXA,Kasaan Seaplane Base,IE,كاسان سيبلاين بيس
EAE,Siwo Airport,VU,مطار سيوو
GDV,Dawson Community Airport,US,مطار داوسون كوميونيتي
LGG,Lige Airport,BE,مطار لييج
YVB,Bonaventure Airport,CA,مطار بونافنتورا
YPC,Paulatuk Nora Aliqatchialuk Ruben Airport,CA,مطار بولاتوك نورا اليكتشيالوك روبين 
BNI,Benin Airport,NG,مطار بنين
YPM,Pikangikum Airport,CA,مطار بيكانغيكوم
ELG,El Golea Airport,DZ,مطار ال غوليا
LLU,Alluitsup Paa Heliport,GL,مهبط الويتسوب باا
YKU,Chisasibi Airport,CA,مطار شيزازيبي
TOH,Torres Airstrip,VU,مهبط توريس 
YUX,Hall Beach Airport,CA,مطار قاعة بيتش
ZSJ,Sandy Lake Airport,CA,مطار ساندي ليك
PNR,Pointe Noire Airport,CG,مطار بوانت نوار
RDZ,Rodez-marcillac Airport,FR,مطار روديز-ماركيلاك
HVG,Valan Airport,NO,مطار فالان
ILD,Lleida-alguaire Airport,ES,مطار ليدا-الغواريا 
LYB,Edward Bodden Airfield,KY,مطار إدوارد بودن
VNX,Vilankulo Airport,MZ,مطار فيلانكولو
ABK,Kabri Dehar Airport,ET,مطار كابري داهر
ERH,Moulay Ali Cherif Airport,MA,مطار مولاي علي الشريف 
GRW,Graciosa Airport,PT,مطار غراسيوسا
MNJ,Mananjary Airport,MG,مطار مانانجاري
DRO,Durango-la Plata County Airport,US,مطار مقاطعة دورانجو-لا بلاتا 
GGM,Kakamega Airport,KE,مطار كاكاميغا
CDV,Merle K Mudhole Smith Airport,US,مطار ميرلي كه مودهول سميث 
YAT,Attawapiskat Airport,CA,مطار اتاوابيسكات 
HFA,Haifa International Airport,IL,مطار حيفا الدولي
DOL,Deauville-saint-gatien Airport,FR,مطار دوفيل سان جاتيه 
DCM,Castres-mazamet Airport,FR,مطار كاستر-مازاميت 
RSU,Yeosu Airport,KR,مطار يوسو
AKU,Aksu Airport,CN,مطار اكسو
TBG,Tabubil Airport,PG,مطار تابوبيل
HYG,Hydaburg Seaplane Base,US,هيدابورج سسيبلاين بيس
DOK,Donetsk International Airport,UA,مطار دونيتسك الدولي
IPT,Williamsport Regional Airport,US,مطار ويليام سبورت الإقليمي
KTE,Kerteh Airport,MY,مطار كيرتيه
AXP,Spring Point Airport,BS,مطار ربيع بوينت
OCC,Francisco De Orellana Airport,EC,مطار فرانسيسكو دي أوريانا
XMH,Manihi Airport,PF,مطار مانيهي
PMY,El Tehuelche Airport,AR,مطار ال تهويلتشي
DEA,Dera Ghazi Khan Airport,PK,مطار ديرا غازي خان
YIO,Pond Inlet Airport,CA,مطار بوند انلت
RTA,Rotuma Airport,FJ,مطار روتوما
YRB,Resolute Bay Airport,CA,مطار ريسولوتي باي
MWX,Muan International Airport,JP,المطار موان الدولي
BIM,South Bimini Airport,BS,مطار جنوب بيميني
HPB,Hooper Bay Airport,US,مطار هوبر باي
SON,Santo Pekoa International Airport,VU,مطار سانتو بيكوا الدولي
HIR,Honiara International Airport,SB,مطار هونيارا الدولي
BVI,Birdsville Airport,AU,مطار بيردسفيلل
LBJ,Komodo Mutiara Ii Airport,ID,مطار كومودو موتيارا الثاني
PYY,Mae Hong Son Airport,TH,مطار ماي هونغ سون
CND,Mihail Koglniceanu International Airport,RO,مطار ميخائيل كونغلنيسيانو الدولي
PLS,Providenciales International Airport,TC,مطار بروفيدنسياليس الدولي
RUA,Arua Airport,UG,مطار أروا
DLI,Lien Khuong Airport,VN,مطار ليان خونغ
CCV,Craig Cove Airport,VU,مطار كريغ كوف
NMA,Namangan Airport,UZ,مطار نامانجان
GOQ,Golmud Airport,CN,مطار جلمود
GEL,Santo Ngelo Airport,BR,مطار سانتو نجيلو
RNA,Ulawa Airport,US,مطار اولاوا
CGP,Shah Amanat International Airport,BD,مطار شاه آمنات الدولي
FJR,Fujairah International Airport,AE,مطار الفجيرة الدولي
NDJ,Ndjamena International Airport,TD,مطار نجامينا الدولي
MJI,Mitiga Airport,LY,مطار ميتيغا
MAG,Madang Airport,PG,مطار مادانغ
DLH,Duluth International Airport,US,0
QJI,Ikamiut Heliport,GL,مهبط اكاميوت
ATZ,Assiut International Airport,EG,مطار أسيوط الدولي
KSO,Kastoria National Airport,GR,مطار كاستوريا الوطنية
SSR,Sara Airport,VU,مطار سارة
VPY,Chimoio Airport,MZ,مطار تشيميو
PPS,Puerto Princesa International Airport,PH,بويرتو برنسيسا الدولي
JJU,Qaqortoq Heliport,GL,مهبط كاكورتوك
ISN,Sloulin Field International Airport,US,مطار سلولين فيلد الدولي
YWL,Williams Lake Airport,CA,مطار ويليامز ليك
ETZ,Metz-nancy-lorraine Airport,FR,مطار ميتز-نانسي-لورين 
GCN,Grand Canyon National Park Airport,US,مطار جراند كانيون الوطني بارك
JAC,Jackson Hole Airport,US,مطار جاكسون هول
SBH,Gustaf Iii Airport,BL,مطار غوستاف ثالثا
NUU,Nakuru Airport,KE,مطار ناكورو
JSU,Maniitsoq Airport,GL,مطار مانيتسوك
ALW,Walla Walla Regional Airport,US,مطار والا والا الإقليمي
GPS,Seymour Airport,EC,مطار سيمور
TVF,Thief River Falls Regional Airport,US,مطار ثيف ريفر فولز الإقليمي 
DLY,Dillons Bay Airport,VU,مطار ديلونس باي
GUA,La Aurora International Airport,GT,مطار لأورورا الدولي
MGQ,Aden Adde International Airport,SO,مطار آدم عدي الدولي
WMR,Mananara Nord Airport,MG,مطار مانانارا نورد
LNK,Lincoln Airport,US,مطار لينكولن
NKC,Nouakchott International Airport,MR,مطار نواكشوط الدولي
ROB,Roberts International Airport,LR,مطار روبرتس الدولي
LMN,Limbang Airport,MY,مطار ليمبانغ
YHD,Dryden Regional Airport,CA,مطار درايدن الإقليمي
VIR,Virginia Airport,ZA,مطار فرجينيا
TZA,Belize City Municipal Airport,BZ,مطار مدينة بليز البلدية
MSS,Massena International Airport,US,مطار ماسينا الدولي
CEI,Chiang Rai International Airport,TH,مطار تشيانج راي الدولي
YHR,Chevery Airport,CA,مطار تشيفيري
MVY,Marthas Vineyard Airport,US,مطار مارثاس فينيارد
APF,Naples Municipal Airport,US,مطار نابولي البلدية
HVB,Hervey Bay Airport,AU,مطار هيرفي باي
MEC,Eloy Alfaro International Airport,EC,مطار إلوي ألفارو الدولي
WBM,Wapenamanda Airport,PG,مطار وابيناماندا
TAH,Tanna Airport,VU,مطار تانا
GWD,Gwadar International Airport,PK,مطار جوادر الدولي
TGJ,Tiga Airport,NC,مطار تيجا
QRY,Ikerassaarsuk Heliport,GL,مهبط اكيراسسارسوك
NNB,Santa Ana Airport,SB,مطار سانتا آنا
IPA,Ipota Airport,VU,مطار ايبوتا
MHQ,Mariehamn Airport,FI,مطار ماريهامن
MAJ,Marshall Islands International Airport,MH,مطار جزر مارشال الدولي
PLN,Pellston Regional Airport,US,مطار بيلستون الإقليمي
SVL,Savonlinna Airport,FI,مطار سافونلينا
MQP,Kruger Mpumalanga International Airport,ZA,مطار كروغر مبومالانجا الدولي
SAH,El Rahaba Airport,YE,مطار ال راحابة 
VFA,Victoria Falls Airport,ZW,مطار شلالات فيكتوريا
SGU,St George Municipal Airport,US,مطار سانت جورج مانيسيبال 
YLL,Lloydminster Airport,CA,مطار ويدمنستر
SFA,Sfax Thyna International Airport,TN,مطار صفاقس طينة الدولي
BJA,Soummam Airport,DZ,مطار سومان 
LCK,Rickenbacker International Airport,US,مطار ريكينباكر الدولي
AKV,Akulivik Airport,CA,مطار أكوليفيك
UPK,Upernavik Kujalleq Heliport,GL,مهبط ابرنافيك كوجاليك 
PHW,Hendrik Van Eck Airport,ZA,مطار هندريك فان إيك
YTQ,Tasiujaq Airport,CA,مطار تاسيوجاك
