airport_code,city_code,airport_name,address_en,webisite,phone
QFI,JGO,Iginniarfik,,,
KKH,DUT,Kongiganak Airport,,,
TNC,SVW,Tin City Long Range Radar Station Airport,,,
YYR,YYR,Cfb Goose Bay Airport,"""6 Canuck Rd",http://www.goosebayairport.com/,(709) 896-5445
MUH,MUH,Mersa Matruh Airport,,,
GDX,GDX,Sokol Airport,"""Magadan Oblast",http://www.airport-magadan.ru/en/index.html,(+7) 413 269-07-77
ACH,ACH,St Gallen Altenrhein Airport,,,
SFN,SFN,Sauce Viejo Airport,,,
RCB,RCB,Richards Bay Airport,"""Nkoninga Road",,(+27 35) 786 0986
GYE,GYE,Jos Joaqun De Olmedo International Airport,"""Avenida de Las Americas",http://www.tagsa.aero/,(+593) 4-216-9000
TUK,TUK,Turbat International Airport,,,
CHY,BNY,Choiseul Bay Airport,,,
LUR,LUR,Cape Lisburne Lrrs Airport,,,
IFO,IFO,Ivano-frankivsk International Airport,,,
JKG,JKG,Jnkping Airport,"""555 93 Jonkoping",http://www.jonkopingairport.se/,(+46) 36 31 11 00
QMK,JSU,Niaqornaarsuk Heliport,,,
MAZ,MAZ,Eugenio Maria De Hostos Airport,"""Carretera 341",,(+1)787-833-0148
MDQ,MDQ,Stor Piazzolla International Airport,"""General Pueyrredón Partido - Buenos Aires Province",,(+54) 223 478-5811
BID,BHM,Block Island State Airport,,,
PNL,PNL,Pantelleria Airport,Pantelleria Airport ,(+39) 0923 911817, Contrada Margana 
RIW,RIW,Riverton Regional Airport,"""4800 Airport Rd",,(+1) 307-856-1307
YGR,YGR,Les-de-la-madeleine Airport,"""1-210 Chemin de lAeroport",,(+1) 418-986-3785
BZG,BZG,Bydgoszcz Ignacy Jan Paderewski Airport,,,
MLO,MLO,Milos Island National Airport,"""Milos 848 00",,(+30) 2287 028410
RNS,RNS,Rennes-saint-jacques Airport,"""Avenue Joseph le Brix",http://www.rennes.aeroport.fr/,(+33) 2 99 29 60 00
AKF,AKF,Kufra Airport,,,
RGL,RGL,Piloto Civil Norberto Fernndez International Airport,"""Ruta Nacional 3",,(+54) 2966 44-2340
APL,APL,Nampula Airport,"""Avenida do trabalho A",,(+258) 26 213 100
LAU,LAU,Manda Airstrip,,,
PPT,PPT,Faa International Airport,"""Faaa",http://tahiti-aeroport.pf/,(+689) 86 60 60
IRA,IRA,Ngorangora Airport,,,
KEM,KEM,Kemi-tornio Airport,"""Lentokentantie 75",http://www.finavia.fi/en/kemi-tornio/,(+358) 20 7088714
YAY,YAY,St Anthony Airport,,,
EYK,URJ,Beloyarskiy Airport,,,
CSY,CSY,Cheboksary Airport,,,
YHU,YMQ,Montreal-saint-hubert Airport,"""5700 route de lAéroport",http://www.dashl.ca/,(+1) 450-678-6030
KYA,KYA,Konya Airport,,,
GTR,GTR,Golden Triangle Regional Airport,,,
TER,TER,Lajes Field,,,
TLN,TLN,Toulon-hyres Airport,,,
JNX,JNX,Naxos Island National Airport,"""Naxos ke Mikres Kiklades 843 00",,NA
SKB,SKB,Robert L Bradshaw International Airport,"""Basseterre",http://www.scaspa.com/RLB_Airport.asp,(+855) 63 761 261
LWY,LWY,Lawas Airport,"""Merapok-Mengkalap Road (Pan Borneo Highway)",,NA
MLI,MLI,Quad City International Airport,"""2200 69th Ave",http://www.qcairport.com/,(+1) 309-764-9621
ADE,ADE,Aden International Airport,"""Aden",http://www.adenaddeairport.com/,(+252) 80-839 (+252) 80-531
ABS,ABS,Abu Simbel Airport,,,
PZB,PZB,Pietermaritzburg Airport,,,
KOC,KOC,Koumac Airport,,,
BNY,BNY,Bellona-anua Airport,,,
MNY,MNY,Mono Airport,,,
TEX,TEX,Telluride Regional Airport,"""1500 Last Dollar Rd",http://www.tellurideairport.com/,(+1) 970-728-8600
NDB,NDB,Nouadhibou International Airport,,,
BIF,BHM,Biggs Army Air Field Fort Bliss,,,
RBV,RBV,Ramata Airport,,,
TUB,TUB,Tubuai Airport,,,
WSZ,WSZ,Westport Airport,,,
KCA,KCA,Kuqa Airport,,,
SML,SML,Stella Maris Airport,,,
YCY,YCY,Clyde River Airport,,,
HLH,HLH,Ulanhot Airport,,,
YNZ,YNZ,Yancheng Airport,,,
ROS,ROS,Rosario - Islas Malvinas International Airport,"""Av Jorge Newbery S/N",,(+54) 341 451-3220
YXN,YXN,Whale Cove Airport,,,
HHH,HHH,Hilton Head Airport,"""120 Beach City Rd",http://www.hiltonheadisland.org/getting-here/airline-services/,(+1) 843-255-2950
PQM,UPN,Palenque International Airport,,,
BST,WAG,Bost Airport,,,
CCN,WAG,Chakcharan Airport,,,
FAH,WAG,Farah Airport,,,
CCK,PBO,Cocos Keeling Islands Airport,,,
POR,POR,Pori Airport,"""Lentoasemantie 1",http://www.finavia.fi/fi/pori/,(+358) 20 7086001
AZD,AZD,Shahid Sadooghi Airport,,,
WWP,WKK,North Whale Seaplane Base,,,
QGQ,LLU,Attu Heliport,,,
UYN,UYN,Yulin Airport,,,
YKQ,YKQ,Waskaganish Airport,,,
SLC,SLC,Salt Lake City International Airport,"""776 N Terminal Dr",http://www.slcairport.com/,(+1) 801-575-2400
SZX,SZX,Shenzhen Baoan International Airport,,,
TIZ,TIZ,Tari Airport,,,
OOM,OOM,Snowy Mountains Airport,"""1611 Kosciuszko Road",http://www.snowymountainsairport.com.au/contact/index.htm,(+61) 2 6452 5999
PUY,PUY,Pula Airport,"""Valtursko field 210",http://www.airport-pula.hr/,(+385) 52 530 105
MEH,MEH,Mehamn Airport,,,
CFN,CFN,Donegal Airport,,,
LEA,LEA,Learmonth Airport,,,
MUB,MUB,Maun Airport,"""Botshabelo Ward",,NA
CFU,CFU,Corfu International Airport,"""Kerkira 491008",,NA
YYF,YYF,Penticton Regional Airport,"""3000 Airport Rd #109",http://www.cyyf.ca/,(+1) 250-770-4422
MJN,MJN,Amborovy Airport,,,
KPY,PWM,Port Bailey Seaplane Base,,,
MEE,MEE,Marc Airport,,,
OZG,TTA,Zagora Airport,,,
GBD,FYV,Great Bend Municipal Airport,,,
CFR,CFR,Caen-carpiquet Airport,,,
ASW,ASW,Aswan International Airport,,,
WUH,WUH,Wuhan Tianhe International Airport,,,
AJU,AJU,Santa Maria Airport,"""Av. Senador Julius Cesar Leite",http://www.infraero.com.br/index.php/br/aeroportos/sergipe/aeroporto-de-aracaju-santa-maria.html,(+55) (0)79 32128500
DAR,DAR,Julius Nyerere International Airport,"""Julius K. Nyerere Rd",http://www.jnia.aero/,(+255) 22 284 4371
JNN,JNN,Nanortalik Heliport,,,
JFR,JFR,Paamiut Airport,,,
ESU,ESU,Mogador Airport,,,
LOD,LOD,Longana Airport,,,
IOA,IOA,Ioannina National Airport,"""Dodoni 455 00",,NA
TTA,TTA,Tan Tan Airport,,,
POP,POP,Gregorio Lupern International Airport,"""Puerto Plata",http://www.aerodom.com,(+1809)-291-0000
YGQ,YGQ,Geraldton Greenstone Regional Airport,,,
KZB,DZN,Zachar Bay Seaplane Base,,,
ZBR,ZBR,Konarak Airport,,,
HSG,HSG,Saga Airport,,,
YWK,YWK,Wabush Airport,,,
MMY,MMY,Miyako Airport,,,
AEB,JGS,Baise Youjiang Airport,,,
DAU,CMU,Daru Airport,,,
SKG,SKG,Thessaloniki International Airport,"""25is Martiou 103",,(+30) 231 098 5000
BQN,BQN,Rafael Hernndez Airport,"""405 Hangar",,(+1)787-890-6075
YXH,YXH,Medicine Hat Airport,"""1-49 Viscount Ave SW",,(+1) 403-526-4664
LUN,LUN,Lusaka International Airport,"""lusaka",,NA
NDR,CMN,Nador International Airport,,,
PBM,PBM,Johan Adolf Pengel International Airport,Luchthavenlaan 1 Para,http://www.japi-airport.com/,(+597) 401-348
PJG,PJG,Panjgur Airport,"""Airport Rd",,NA
ANR,ANR,Antwerp International Airport,"""Luchthavenlei",http://www.antwerp-airport.be/,(+323) 285 65 00
LHE,LHE,Allama Iqbal International Airport,"""Airport Rd",http://www.lahoreairport.com.pk/,NA
RAB,RAB,Rabaul Airport,"""Kokopo 611",,(+675) 983 9360
HRE,HRE,Harare International Airport,"""Harare South",,(+263) 4 585 073
GES,GES,Tambler Airport,,,
ZAM,ZAM,Zamboanga International Airport,,,
EGS,EGS,Egilsstair Airport,,,
TDG,SUG,Tandag Airport,,,
MYD,MYD,Malindi Airport,,,
PUU,PUU,Tres De Mayo Airport,,,
TAO,TAO,Liuting Airport,,,
HTI,HTI,Great Barrier Reef Airport,"""Hamilton Island QLD 4803",http://www.hamiltonisland.com.au/airport/,(+61) 7 4946 9574
TPA,TPA,Tampa International Airport,"""4100 George J Bean Inbound Pkwy",http://www.tampaairport.com/index.asp,(+1) 813-870-8700
MEB,MEL,Essendon Airport,"""English St",http://www.essendonairport.com.au/,(+61) 3 9948 9300
BWK,BWK,Bol Airport,,,
JGN,JGN,Jiayuguan Airport,,,
YRT,YRT,Rankin Inlet Airport,,,
YLE,YCK,What Airport,,,
KIF,KIF,Kingfisher Lake Airport,,,
PFO,PFO,Paphos International Airport,"""Paphos 8061",http://www.hermesairports.com/,(+357) 77 778833
YUD,YUD,Umiujaq Airport,,,
PER,PER,Perth Airport,"""2 George Wiencke Dr",http://www.perthairport.com.au/index.aspx,(+61) 8 9478 8888
AGM,JEG,Tasiilaq Heliport,,,
YUT,YUT,Repulse Bay Airport,,,
LOK,LOK,Lodwar Airport,,,
EDL,EDL,Eldoret International Airport,,,
ANV,ANV,Anvik Airport,,,
MPL,MPL,Montpellier-mditerrane Airport,"""34137 Mauguio",http://www.montpellier.aeroport.fr/en/passagers,(+33) 4 67 20 85 00
YTL,YTL,Big Trout Lake Airport,,,
GRO,GRO,Girona-costa Brava Airport,17185 Vilobi de Onyar (Girona),http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Girona-Costa-Brava/en/Home.html,(+34) 91 321 10 00
SPU,SPU,Split Airport,"""Cesta Dr. Franje Tudmana",http://www.split-airport.hr/,(+385) 21 203 555
ABB,AKR,Asaba International Airport,,,
LNV,LNV,Lihir Island Airport,"""Lihir Islands",,NA
VAO,VAO,Suavanao Airport,,,
XIQ,JGO,Ilimanaq Heliport,,,
CGA,YCK,Craig Seaplane Base,,,
MCX,MCX,Uytash Airport,,,
AHU,AHU,Cherif Al Idrissi Airport,,,
TTU,TTU,Saniat Rmel Airport,,,
BEB,BEB,Benbecula Airport,,,
GEV,GEV,Gllivare Airport,,,
YAM,YAM,Sault Ste Marie Airport,"""475 Airport Rd",http://www.saultairport.com/,(+1) 705-779-3031
KNW,KNW,New Stuyahok Airport,,,
WMO,WRG,White Mountain Airport,,,
UEO,UEO,Kumejima Airport,,,
YAP,YAP,Yap International Airport,,,
VXC,VXC,Lichinga Airport,,,
RTB,RTB,Juan Manuel Galvez International Airport,"""Coxen Hole",http://www.interairports.hn/,(+504) 2442-1765/2442-1440
LYC,LYC,Lycksele Airport,,,
OBY,NAQ,Ittoqqortoormiit Heliport,,,
KIS,KIS,Kisumu Airport,,,
BRD,BRD,Brainerd Lakes Regional Airport,"""16384 Airport Rd",http://brainerdairport.com/,(+1) 218-825-2166
YHK,YHK,Gjoa Haven Airport,,,
CPO,CPO,Chamonate Airport,Chile,,NA
UVE,UVE,Ouvca Airport,,,
MKM,MKM,Mukah Airport,"""Mukah",,NA
MIU,MIU,Maiduguri International Airport,,,
TOU,TOU,Touho Airport,,,
BUS,BUS,Batumi International Airport,,,
UNN,UNN,Ranong Airport,,,
UTH,UTH,Udon Thani Airport,,,
SAB,SAB,Juancho E Yrausquin Airport,,,
TQL,SLY,Tarko-sale Airport,,,
KHD,KHD,Khoram Abad Airport,,,
POZ,POZ,Pozna-awica Airport,"""Bukowska 285",http://www.airport-poznan.com.pl/,(+48) 61 849 23 43
KQA,KQA,Akutan Seaplane Base,,,
ACI,ACI,Alderney Airport,,,
JUB,JUB,Juba Airport,,,
YBV,YBR,Berens River Airport,,,
YSK,YSK,Sanikiluaq Airport,,,
NVK,NVK,Narvik Framnes Airport,,,
HOB,HOB,Lea County Regional Airport,,,
DRK,TNO,Drake Bay Airport,,,
NBS,BZE,Changbaishan Airport,,,
MPN,MPN,Mount Pleasant Airport,,,
CJA,CJA,Mayor General Fap Armando Revoredo Iglesias Airport,,,
PXU,PXU,Pleiku Airport,,,
TJA,TJA,Capitan Oriel Lea Plaza Airport,,,
AKX,AKX,Aktobe Airport,,,
BIR,BIR,Biratnagar Airport,,,
YFH,YFH,Fort Hope Airport,,,
EMK,EHM,Emmonak Airport,,,
RJK,RJK,Rijeka Airport,,,
LAX,LAX,Los Angeles International Airport,"""1 World Way",http://www.lawa.org/welcomeLAX.aspx,(+1) 310-646-5252
KRP,KRP,Karup Airport,"""N. O. Hansens Vej 4",http://karup-lufthavn.dk/,(+45) 97 10 06 10
PVK,PVK,Aktion National Airport,,,
CKS,CKS,Carajs Airport,"""Rodovia Raymundo Mascarenhas",http://www.infraero.gov.br/index.php/br/aeroportos/para/aeroporto-de-carajas.html,"(+55)94 3327-1397, 0800 7271234"
TRW,TRW,Bonriki International Airport,,,
UMD,JHS,Uummannaq Heliport,,,
KTL,KTL,Kitale Airport,,,
TTQ,TTQ,Aerotortuguero Airport,,,
GLO,GLO,Gloucestershire Airport,,,
BLV,BLV,Scott Afb-midamerica Airport,,,
USU,USU,Francisco B Reyes Airport,,,
WIC,WIC,Wick Airport,,,
PIX,PIX,Pico Airport,,,
YQT,YQT,Thunder Bay International Airport,"""340-100 Princess Street",http://www.tbairport.on.ca,(+1) 807 473-2600
ORU,LPB,Juan Mendoza Airport,,,
URY,URY,Guriat Domestic Airport,,,
BKA,MOW,Bykovo Airport,NA,,NA
HBE,ALY,Borg El Arab Airport,"""Alexandria",http://borg-el-arab.airport-authority.com/,(+20) 3 4595671
RST,RST,Rochester International Airport,"""7600 Helgerson Dr. SW",http://www.flyrst.com/,(+1) 507-282-2328
QCU,JGR,Akunaq Heliport,,,
MLW,MLW,Spriggs Payne Airport,,,
CGB,CGB,Marechal Rondon International Airport,"""Avenida Joao Ponce de Arruda",http://www.infraero.gov.br/index.php/us/airports/parana/afonso-pena-airport.html,(+55) 65 3614-2500
UAH,UAH,Ua Huka Airport,,,
UII,UII,Utila Airport,,,
CJL,CJL,Chitral Airport,,,
AAY,AAY,Al Ghaidah International Airport,,,
GIL,GIL,Gilgit Airport,,,
JOL,JOL,Jolo Airport,,,
CPC,CPC,Aviador C Campos Airport,,,
YMK,SLY,Mys Kamenny Airport,,,
GDE,GDE,Gode Airport,,,
PBH,PBH,Paro Airport,"""Airport Road",,(+97)58 271 218
MSU,MSU,Moshoeshoe I International Airport,"""Maseru 100",http://www.civilair.org.ls/moshoeshoe/default.htm,(+266) 2235 0777
HKN,HKN,Hoskins Airport,"""Hoskins 622",,(+675) 985 0066
IAO,ZAM,Siargao Airport,,,
XNA,XNA,Northwest Arkansas Regional Airport,,,
BCD,BCD,Bacolod-silay City International Airport,,,
JOE,JOE,Joensuu Airport,,,
BQB,BQB,Busselton Regional Airport,,,
BZO,BZO,Bolzano Airport,,,
AZS,AZS,Saman El Catey International Airport,,,
YTS,YTS,Timmins-victor M Power Airport,"""220 Algonquin Blvd. East",http://www.timmins.ca/residents/airport,(+1) 705 264-1331
NRK,NRK,Norrkping Airport,,,
BKQ,BKQ,Blackall Airport,,,
MLG,MLG,Abdul Rachman Saleh Airport,,,
LNB,LNB,Lamen Bay Airport,,,
WBB,KDI,Stebbins Airport,,,
DEC,DEC,Decatur Airport,"""910 S Airport Rd",http://www.decatur-parks.org/airport-home-page/,(+1) 217-428-2423
ZAH,ZAH,Zahedan International Airport,,,
YFO,YFO,Flin Flon Airport,,,
ZTH,ZTH,Zakynthos International Airport,"""Zakinthos 290 92",,NA
ALC,ALC,Alicante Airport,"""03195 El Altet",http://www.aena-aeropuertos.es/,(+34) 913 21 10 00
EWN,EWN,Coastal Carolina Regional Airport,"""200 Terminal Drive New Bern",http://www.newbernairport.com/,(+1) 252-638-8591
HYS,HYS,Hays Regional Airport,"""3950 E 8th",http://www.flyhays.com/,(+1) 785-628-7370
YKT,KGC,Klemtu Water Aerodrome,,,
RLG,RLG,Rostock-laage Airport,,,
UKA,UAS,Ukunda Airstrip,,,
SWV,ITO,Shikarpur Airport,,,
BGF,BGF,Bangui Mpoko International Airport,"""Avenue de France",,NA
MJT,MJT,Mytilene International Airport,"""Mytilene",,NA
BZV,BZV,Maya Maya Airport,"""Brazzaville",,NA
AVP,AVP,Wilkes-barre-scranton International Airport,"""100 Terminal Rd",http://www.flyavp.com/,(+1) 877-235-9287
VLS,VLS,Valesdir Airport,,,
SAP,SAP,Ramn Villeda Morales International Airport,"""Blvd a la Fuerza Aerea",,(+504) 2668-3268
MPA,MPA,Katima Mulilo Airport,NA,,NA
GRV,GRV,Grozny North Airport,,,
TOE,TOE,Tozeur Nefta International Airport,,,
LRR,LRR,Lar Airport,,,
YVR,YVR,Vancouver International Airport,"""3211 Grant McConachie Way",http://www.yvr.ca,(+1) 604.207.7077
QRO,QRO,Quertaro International Airport,"""Carretera Estatatal 200 Queretaro - Tequisquiapan 22500",http://aiq.com.mx/,(+52) 442 192 5500
CIH,CIH,Changzhi Airport,,,
LYI,LYI,Shubuling Airport,,,
YXY,YXY,Erik Nielsen Whitehorse International Airport,"""75 Barkley Grow Crescent",http://www.gov.yk.ca/yxy/airports/yxy/,(+1) 867-667-8440
YQD,YQD,The Pas Airport,"""The Pas",,(+1) 204-624-5233
INH,INH,Inhambane Airport,,,
FRE,FRE,Fera-maringe Airport,,,
XBJ,XBJ,Birjand Airport,,,
LGA,NYC,Laguardia Airport,"""New York",http://www.panynj.gov/airports/laguardia.html,(+1) 718-533-3400
LOO,LOO,Laghouat Airport,,,
MYW,MYW,Mtwara Airport,,,
ZNA,YCD,Nanaimo Harbour Water Airport,"""Nanaimo",,NA
DAC,DAC,Shahjalal International Airport,"""Airport Road",http://shahjalalairport.com/,(+880) 2-7911042
BER,BER,Berlin Brandenburg Airport,"""Ground floor/ Europa Platz entrance",http://www.berlin-airport.de/en/travellers/index.php,"(+49) 30 6091-70100, 49 30 6091-70070"
IXB,IXB,Bagdogra Airport,,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,
KUA,KUA,Sultan Haji Ahmad Shah Airport,"""25150 Kuantan",,(+60) 9-531 2123
TAS,TAS,Tashkent International Airport,"""Sergeli District",http://www.uzairways.com/,(+998) 71 140 28 01
GRJ,GRJ,George Airport,"""Formosa Avenue",,(+27) 86 727 7888
NNT,NNT,Nan Airport,"""Queens Road",http://www.airportsfiji.com/nadi_aiport.php,NA
RGA,RGA,Hermes Quijada International Airport,"""Tierra del Fuego Province",,NA
MWZ,MWZ,Mwanza Airport,,,
ARK,ARK,Arusha Airport,,,
ERC,ERC,Erzincan Airport,,,
CTL,CTL,Charleville Airport,"""Qantas Dr",http://www.murweh.qld.gov.au/aerodrome,(+61) 409 343 633
AGB,MUC,Augsburg Airport,"""Flughafenstraße 1",http://www.augsburg-airport.com/,(+49) 821 2708111
TKQ,TKQ,Kigoma Airport,,,
SHB,SHB,Nakashibetsu Airport,,,
BJR,BJR,Bahir Dar Airport,,,
MCG,MCG,Mcgrath Airport,,,
YPX,YPX,Puvirnituq Airport,Canada,,(+1) 819-988-1530
REA,REA,Reao Airport,,,
SCN,SCN,Saarbr 1-4 Cken Airport,,,
ICN,SEL,Incheon International Airport,"""272 Jung-gu",http://www.airport.kr/eng/,(+82) 1661-2626
CUU,CUU,General Roberto Fierro Villalobos International Airport,"""Blvd. Juan Pablo II Km. 14",,(+52) 614 478 7000
EKO,EKO,Elko Regional Airport,"""975 Terminal Way",http://www.ci.elko.nv.us/airport/airport.htm,(+1) 775-777-7190
GVA,GVA,Geneva International Airport,"""Route de lAeroport 21",,(+43) 41 22 717 71 1
CCP,CCP,Carriel Sur International Airport,Chile,http://www.carrielsur.cl/,(+56) 41 273 2000
TIM,TIM,Moses Kilangin Airport,,,
KME,KME,Kamembe Airport,,,
CLM,CLM,William R Fairchild International Airport,"""1402 Fairchild Airport Rd",,(+1) 360-417-3363
LBP,LBP,Long Banga Airport,,,
PUQ,PUQ,Presidente Carlos Ibez Del Campo International Airport,"""Magallanes and Antartica Chilena Region",,NA
DEF,ABD,Dezful Airport,,,
PWM,PWM,Portland International Jetport,"""1001 Westbrook Street Portland",http://www.portlandjetport.org/,(+1) 207 874-8877
PAG,PAG,Pagadian Airport,,,
HEL,HEL,Helsinki Airport,"""01531 Vantaa",http://www.finavia.fi/fi/helsinkivantaa/,(+358) 200 14636
NOC,NOC,Ireland West Airport Knock,"""Charlestown",http://www.irelandwestairport.com/,(+353) 94 936 8100
KMO,LUR,Manokotak Airport,,,
JDH,JDH,Jodhpur Airport,,,
BOG,BOG,El Dorado International Airport,"""26 መንገድ # 103-09",http://www.eldorado.aero/,(+57) 1 2662000
PIH,PIH,Pocatello Regional Airport,"""1950 Airport Way",,(+1) 208-234-6154
GCW,TQR,Grand Canyon West Airport,,,
KKU,JST,Ekuk Airport,,,
SOW,SNA,Show Low Regional Airport,,,
VCA,VCA,Tr Nc Airport,,,
LWB,LWB,Greenbrier Valley Airport,"""558 Airport Rd",http://www.gvairport.com/,(+1) 304-645-3961
MZR,MZR,Mazar I Sharif Airport,,,
SHH,SHH,Shishmaref Airport,,,
RSA,RSA,Santa Rosa Airport,,,
CEB,CEB,Mactan-cebu International Airport,"""Airport Road",http://www.cebu-airport.com/,(+63) 32 340 2486
CGK,JKT,Soekarno-hatta International Airport,"""Jakarta",http://www.angkasapura2.co.id/branch/,(+62) 21 5505179
PRH,NNT,Phrae Airport,,,
WUZ,WUZ,Changzhoudao Airport,,,
TMU,TMU,Tambor Airport,,,
BVC,BVC,Rabil Airport,,,
LCG,LCG,A Corua Airport,"""Rutis-Vilaboa",http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-A-Coruna/es/Page/1048146841382//Contacto.html,(+34) 981 18 73 15
BZE,BZE,Philip S W Goldson International Airport,"""International Airport Rd",http://www.pgiabelize.com/1.html,(501) 225-2045
VOL,VOL,Nea Anchialos Airport,,,
AUY,AUY,Aneityum Airport,,,
EIL,EHM,Eielson Air Force Base,,,
BSR,BSR,Basrah International Airport,,,
LPM,LPM,Lamap Airport,,,
TII,MZR,Tarin Kowt Airport,,,
IKO,AKN,Nikolski Air Station,,,
KIH,KIH,Kish International Airport,,,
KMG,KMG,Kunming Changshui International Airport,"""Guandu",http://www.kmgairport.com/,(+86) 871 6709 0114
NKG,NKG,Nanjing Lukou International Airport,"""Lukouzhen",http://www.njiairport.com/,NA
RGS,BIO,Burgos Airport,,,
YNO,YNO,North Spirit Lake Airport,,,
SKK,AET,Shaktoolik Airport,,,
WRG,WRG,Wrangell Airport,,,
BVE,BVE,Brive-la Roche Airport,,,
CLO,CLO,Alfonso Bonilla Aragon International Airport,,,
MPM,MPM,Maputo International Airport,"""3267 Avenida Acordos de Lusaka",,(+258) 21 466 846
HAU,HAU,Haugesund Airport,"""Avinor",http://www.avinor.no/en/airport/haugesund,(+47) 67 03 10 10
EFL,EFL,Argostolion Airport,"""Kefalonia 281 00",,(+30) 2671 042110
OAS,MZR,Sharana Airstrip,,,
FAC,MVT,Faaite Airport,,,
VHZ,RFP,Vahitahi Airport,,,
ZAJ,UND,Zaranj Airport,,,
MMZ,MMZ,Maimana Airport,,,
SJT,SJT,San Angelo Regional Airport,"""8618 Terminal Cir",,(+1) 325-659-6409 ext. 3
TKK,TKK,Chuuk International Airport,,,
ZVK,ZVK,Savannakhet Airport,,,
DIR,DIR,Aba Tenna Dejazmach Yilma International Airport,,,
EUX,EUX,Fd Roosevelt Airport,"""Oranjestad",,NA
PZU,PZU,Port Sudan New International Airport,,,
VDA,VDA,Ovda Airport,"""Ovda",,NA
GMB,GMB,Gambella Airport,,,
SVQ,SVQ,San Pablo Airport,"""Ctra. Nal. IV",http://www.aena-aeropuertos.es/csee/Satellite/Aeropuerto-Sevilla/en/,(+34) 954 449 000
LLI,LLI,Lalibela Airport,"""North Wello",,"(+251)11 665 0400, 11 665 0499"
SNW,SNW,Thandwe Airport,,,
MCN,MCN,Middle Georgia Regional Airport,"""000 Terminal Dr",http://www.cityofmacon.net/citydept-aviation,(+1) 478-788-3760
KUH,HKD,Kushiro Airport,,,
GZT,GZT,Gaziantep International Airport,,,
BXU,BXU,Bancasi Airport,,,
FPO,FPO,Grand Bahama International Airport,"""Queens Cove",,(+1) 242-352-6020
AXM,AXM,El Edn International Airport,"""La Tebaida",http://aeropuertoeleden.com/,(+57) 6 7479400
AHB,AHB,Abha Regional Airport,,,
KKA,JNU,Koyuk Alfred Adams Airport,,,
CGM,CGM,Camiguin Airport,,,
FHZ,MVT,Fakahina Airport,,,
EBD,EBD,El Obeid Airport,,,
TLV,TLV,Ben Gurion Airport,"""1 Zeitlin ",http://www.tel-aviv.gov.il/eng/Pages/HomePage.aspx,(+972)-3-7253861
INU,INU,Nauru International Airport,,,
MCI,MKC,Kansas City International Airport,"""601 Brasilia Ave",http://www.flykci.com/,(+1) 816-243-5237
ELD,ELD,South Arkansas Regional Airport At Goodwin Field,"""South Arkansas Regional At Goodwin Field",http://www.flyeld.com/,(+1) 870-881-4192
LBE,LBE,Arnold Palmer Regional Airport,"""148 Aviation Ln",http://www.palmerairport.com/,(+1) 724-539-8100
UYL,UYL,Nyala Airport,,,
KVC,KVC,King Cove Airport,,,
UNK,ATK,Unalakleet Airport,,,
PEI,PEI,Matecaa International Airport,"""Av 30 de Agosto",,NA
RAI,RAI,Nelson Mandela International Airport,"""Rua do Aeroporto",,(+238) 263 10 10
KSA,KSA,Kosrae International Airport,,,
AUC,AUC,Santiago Perez Airport,,,
SCW,SCW,Syktyvkar Airport,,,
FUG,KHN,Fuyang Xiguan Airport,,,
ETH,ETH,Eilat Airport,"""Eilat",http://www.iaa.gov.il/Rashat/en-US/Airports/Eilat/,(+972) 8-634-0152
NAJ,NAJ,Nakhchivan Airport,,,
JIM,JIM,Jimma Airport,,,
BRI,BRI,Bari Karol Wojtya Airport,"""Viale Enzo Ferrari",http://www.aeroportidipuglia.it/index.asp?idlingua=2&,(+39) 080 580 0358
UAK,UAK,Narsarsuaq Airport,"""Narsarsuaq",,(+299) 66 52 66
SLY,SLY,Salekhard Airport,,,
BNA,BNA,Nashville International Airport,"""One Terminal Drive Suite 501 Nashville",http://www.flynashville.com/Pages/default.aspx,(+1) 615-275-1600
NLK,NLK,Norfolk Island Airport,"""Ferny Ln",http://www.airport.gov.nf/,(+672) 3 22445
CHQ,CHQ,Chania International Airport,"""Chania 731 00",,(+30) 2821 083800
BQS,BQS,Ignatyevo Airport,,,
PFB,PFB,Lauro Kurtz Airport,,,
SLN,SLN,Salina Municipal Airport,"""3237 Arnold Ave",http://www.salinaairport.com/,(+1) 785-827-3914
BWA,BWA,Bhairahawa Airport,,,
LSP,LSP,Josefa Camejo International Airport,,,
JKR,JUM,Janakpur Airport,,,
QUO,ABV,Akwa Ibom International Airport,,,
LEJ,LEJ,Leipzig-halle Airport,"""Terminalring 11",https://www.leipzig-halle-airport.de/,(+49) 341 2241155
KSH,KSH,Kermanshah Airport,"""Shahrak-e-Nasr",,NA
TBZ,TBZ,Tabriz International Airport,,,
HOR,HOR,Horta Airport,,,
LBD,LBD,Khudzhand Airport,,,
XJD,DOH,Al Udeid Air Base,,,
TIJ,TIJ,General Abelardo L Rodr-guez International Airport,,,
TYN,TYN,Taiyuan Wusu Airport,,,
VIX,VIX,Eurico De Aguiar Salles Airport,"""Av. Fernando Ferrari",http://www.infraero.gov.br/index.php/br/aeroportos/espirito-santo/aeroporto-de-vitoria-eurico-de-aguiar-salles-vitoria-es.html,(+55) 27 3235-6300
PNK,PNK,Supadio Airport,"""Jalan Adi Sucipto",,(+62) 560 721212
EGX,IGG,Egegik Airport,,,
